Annual Turnover,Facebook Popularity Quotient,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Ambience,Lively,Service,Comfortablility,Privacy,Years Since Opening,city_average_income,median_household_income,average_salary,poverty_rate,gini_index,City_Tier_Other,City_Tier_Tier 1,City_Tier_Tier 2,City_Tier_Tier 3,Restaurant Location_Near Business Hub,Restaurant Location_Near Party Hub,Endorsed By_Local Celebrity,Endorsed By_Not Specific,Endorsed By_Tier A Celebrity
0.6311475409836066,0.7542001460920378,0.958762886597938,1.0,1.0,1.0,0.0,1.0,1.0,0.6000000000000001,0.0,0.1111111111111111,0.5714285714285714,0.6666666666666666,0.5,0.40000000000000013,1.0,0.8,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.28309409888357273,0.8571428571428573,0.9038461538461539,0.8666666666666667,0.06607929515418504,0.9090909090909092,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.7622950819672132,0.7742878013148284,0.7731958762886598,1.0,1.0,1.0,1.0,0.0,1.0,0.6000000000000001,0.0,0.5555555555555556,0.7142857142857142,0.8333333333333334,0.75,0.6000000000000001,0.75,0.5,0.7000000000000001,0.7000000000000001,0.30000000000000004,0.8,0.3051036682615632,0.2857142857142857,0.326923076923077,0.2666666666666666,0.39647577092511016,0.4545454545454546,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.4754098360655738,0.7669831994156318,0.48453608247422675,1.0,1.0,1.0,1.0,0.0,1.0,0.6000000000000001,0.0,0.1111111111111111,0.7142857142857142,0.6666666666666666,0.25,0.40000000000000013,0.5,0.7000000000000001,1.0,0.5,0.2,0.8,0.14019138755980876,0.5714285714285715,0.6153846153846155,0.5333333333333334,0.2114537444933921,0.6363636363636362,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.7779401022644263,0.7491408934707903,0.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,1.0,0.6666666666666665,0.7142857142857142,0.6666666666666666,0.625,0.6000000000000001,0.75,0.7000000000000001,0.7000000000000001,0.4,0.30000000000000004,0.5,0.29521531100478493,1.0,1.0,1.0,0.0,0.8181818181818179,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.4344262295081967,0.7867056245434623,0.4725085910652921,1.0,1.0,0.0,1.0,1.0,1.0,0.6000000000000001,1.0,0.1111111111111111,0.5714285714285714,0.5,0.25,1.0,0.25,1.0,0.6000000000000001,0.2,0.0,0.4,0.11116427432216924,0.8571428571428573,0.9038461538461539,0.8666666666666667,0.06607929515418504,0.9090909090909092,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.5983606557377049,0.8948137326515704,0.8762886597938143,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7777777777777777,0.5714285714285714,0.6666666666666666,0.5,0.20000000000000018,0.75,0.6000000000000001,0.9,0.5,0.4,0.9,0.1510366826156302,0.8571428571428573,0.9038461538461539,0.8666666666666667,0.06607929515418504,0.9090909090909092,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.13934426229508196,0.40175310445580714,0.42611683848797244,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.2222222222222222,0.42857142857142855,0.5,0.5,0.40000000000000013,0.5,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.30000000000000004,0.9,0.12009569377990448,1.0,1.0,1.0,0.0,0.8181818181818179,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.4754098360655738,0.6574141709276844,0.38144329896907225,0.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.0,0.5555555555555556,0.42857142857142855,0.5,0.375,0.0,0.75,0.8,0.7000000000000001,0.4,0.30000000000000004,0.6000000000000001,0.23779904306220112,0.6,0.6346153846153847,0.6000000000000001,0.17180616740088112,0.7272727272727271,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.4672131147540984,0.8802045288531775,0.7668384879725084,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.0,0.4444444444444445,0.42857142857142855,0.6666666666666666,0.375,0.0,1.0,0.6000000000000001,0.8,0.6000000000000001,0.30000000000000004,0.7000000000000001,0.3746411483253591,0.8571428571428573,0.9038461538461539,0.8666666666666667,0.06607929515418504,0.9090909090909092,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.23770491803278687,0.49306062819576324,0.05876288659793816,1.0,1.0,1.0,1.0,0.0,1.0,0.2,1.0,0.5555555555555556,0.2857142857142857,0.33333333333333337,0.125,0.6000000000000001,1.0,0.5,0.2,0.1,0.30000000000000004,0.0,0.49043062200956955,0.8571428571428573,0.9038461538461539,0.8666666666666667,0.06607929515418504,0.9090909090909092,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
